,code
999,16.0
1000,23.0
1001,20.0
1002,12.0
1003,8.0
1004,12.0
1005,11.0
1006,8.0
1007,8.0
1008,15.0
1009,17.0
1010,12.0
1011,12.0
1012,19.0
1013,24.0
1014,23.0
1015,29.0
1016,32.0
1017,32.0
1018,31.0
1019,40.0
1020,45.0
1021,46.0
1022,41.0
1023,40.0
1024,43.0
1025,32.0
1026,20.0
1027,18.0
1028,16.0
1029,4.0
1030,-10.0
1031,-12.0
1032,-17.0
1033,-34.0
1034,-39.0
1035,-34.0
1036,-41.0
1037,-58.0
1038,-58.0
1039,-51.0
1040,-51.0
1041,-54.0
1042,-48.0
1043,-39.0
1044,-36.0
1045,-35.0
1046,-26.0
1047,-11.0
1048,-5.0
1049,-4.0
1050,3.0
1051,18.0
1052,24.0
1053,13.0
1054,15.0
1055,25.0
1056,24.0
1057,12.0
1058,7.0
1059,10.0
1060,4.0
1061,-10.0
1062,-12.0
1063,-11.0
1064,-19.0
1065,-27.0
1066,-26.0
1067,-20.0
1068,-27.0
1069,-33.0
1070,-25.0
1071,-19.0
1072,-21.0
1073,-25.0
1074,-21.0
1075,-13.0
1076,-9.0
1077,-6.0
1078,-1.0
1079,-1.0
1080,0.0
1081,-2.0
1082,2.0
1083,2.0
1084,-5.0
1085,-5.0
1086,-1.0
1087,1.0
1088,-7.0
1089,-19.0
1090,-20.0
1091,-20.0
1092,-24.0
1093,-29.0
1094,-24.0
1095,-18.0
1096,-22.0
1097,-19.0
1098,2.0
1099,19.0
1100,21.0
1101,28.0
1102,49.0
1103,63.0
1104,77.0
1105,95.0
1106,112.0
1107,125.0
1108,128.0
1109,135.0
1110,142.0
1111,142.0
1112,136.0
1113,128.0
1114,119.0
1115,99.0
1116,77.0
1117,64.0
1118,48.0
1119,23.0
1120,-2.0
1121,-21.0
1122,-42.0
1123,-67.0
1124,-89.0
1125,-103.0
1126,-115.0
1127,-127.0
1128,-136.0
1129,-136.0
1130,-133.0
1131,-134.0
1132,-134.0
1133,-123.0
1134,-114.0
1135,-105.0
1136,-96.0
1137,-79.0
1138,-63.0
1139,-53.0
1140,-42.0
1141,-25.0
1142,-10.0
1143,1.0
1144,9.0
1145,19.0
1146,19.0
1147,19.0
1148,26.0
1149,33.0
1150,34.0
1151,39.0
1152,44.0
1153,46.0
1154,47.0
1155,52.0
1156,60.0
1157,64.0
1158,66.0
1159,64.0
1160,69.0
1161,69.0
1162,76.0
1163,78.0
1164,81.0
1165,79.0
1166,73.0
1167,65.0
1168,65.0
1169,59.0
1170,46.0
1171,30.0
1172,16.0
1173,3.0
1174,-18.0
1175,-35.0
1176,-51.0
1177,-62.0
1178,-79.0
1179,-92.0
1180,-97.0
1181,-107.0
1182,-119.0
1183,-117.0
1184,-108.0
1185,-105.0
1186,-105.0
1187,-94.0
1188,-72.0
1189,-56.0
1190,-50.0
1191,-37.0
1192,-17.0
1193,-2.0
1194,11.0
1195,26.0
1196,41.0
1197,46.0
1198,48.0
1199,54.0
1200,61.0
1201,57.0
1202,48.0
1203,46.0
1204,44.0
1205,36.0
1206,21.0
1207,17.0
1208,11.0
1209,2.0
1210,-11.0
1211,-17.0
1212,-19.0
1213,-28.0
1214,-33.0
1215,-28.0
1216,-20.0
1217,-19.0
1218,-20.0
1219,-10.0
1220,3.0
1221,10.0
1222,12.0
1223,20.0
1224,34.0
1225,38.0
1226,43.0
1227,45.0
1228,47.0
1229,49.0
1230,44.0
1231,43.0
1232,43.0
1233,36.0
1234,31.0
1235,26.0
1236,26.0
1237,18.0
1238,9.0
1239,6.0
1240,7.0
1241,6.0
1242,12.0
1243,19.0
1244,21.0
1245,26.0
1246,35.0
1247,39.0
1248,40.0
1249,45.0
1250,53.0
1251,60.0
1252,63.0
1253,60.0
1254,56.0
1255,55.0
1256,45.0
1257,34.0
1258,21.0
1259,9.0
1260,-4.0
1261,-18.0
1262,-33.0
1263,-48.0
1264,-64.0
1265,-74.0
1266,-85.0
1267,-96.0
1268,-103.0
1269,-109.0
1270,-114.0
1271,-116.0
1272,-110.0
1273,-105.0
1274,-98.0
1275,-90.0
1276,-76.0
1277,-64.0
1278,-49.0
1279,-35.0
1280,-19.0
1281,-6.0
1282,2.0
1283,14.0
1284,27.0
1285,34.0
1286,42.0
1287,49.0
1288,57.0
1289,59.0
1290,57.0
1291,53.0
1292,47.0
1293,42.0
1294,36.0
1295,32.0
1296,25.0
1297,21.0
1298,17.0
1299,14.0
1300,10.0
1301,9.0
1302,12.0
1303,11.0
1304,9.0
1305,9.0
1306,12.0
1307,18.0
1308,20.0
1309,22.0
1310,24.0
1311,24.0
1312,22.0
1313,18.0
1314,12.0
1315,12.0
1316,9.0
1317,5.0
1318,-7.0
1319,-18.0
1320,-24.0
1321,-28.0
1322,-34.0
1323,-42.0
1324,-44.0
1325,-45.0
1326,-47.0
1327,-48.0
1328,-45.0
1329,-36.0
1330,-29.0
1331,-25.0
1332,-18.0
1333,-9.0
1334,-2.0
1335,3.0
1336,8.0
1337,16.0
1338,21.0
1339,24.0
1340,24.0
1341,26.0
1342,28.0
1343,23.0
1344,16.0
1345,13.0
1346,8.0
1347,4.0
1348,-2.0
1349,-7.0
1350,-12.0
1351,-16.0
1352,-18.0
1353,-18.0
1354,-17.0
1355,-21.0
1356,-21.0
1357,-15.0
1358,-10.0
1359,-1.0
1360,10.0
1361,20.0
1362,28.0
1363,41.0
1364,49.0
1365,54.0
1366,66.0
1367,74.0
1368,81.0
1369,82.0
1370,83.0
1371,84.0
1372,81.0
1373,76.0
1374,73.0
1375,63.0
1376,54.0
1377,41.0
1378,34.0
1379,27.0
1380,17.0
1381,7.0
1382,-2.0
1383,-11.0
1384,-21.0
1385,-26.0
1386,-32.0
1387,-35.0
1388,-41.0
1389,-43.0
1390,-46.0
1391,-49.0
1392,-47.0
1393,-44.0
1394,-45.0
1395,-41.0
1396,-40.0
1397,-42.0
1398,-36.0
1399,-38.0
1400,-30.0
1401,-25.0
1402,-22.0
1403,-20.0
1404,-24.0
1405,-20.0
1406,-19.0
1407,-25.0
1408,-32.0
1409,-30.0
1410,-23.0
1411,-25.0
1412,-26.0
1413,-23.0
1414,-16.0
1415,-11.0
1416,-11.0
1417,-3.0
1418,1.0
1419,3.0
1420,10.0
1421,21.0
1422,33.0
1423,41.0
1424,45.0
1425,52.0
1426,58.0
1427,59.0
1428,58.0
1429,56.0
1430,55.0
1431,50.0
1432,44.0
1433,41.0
1434,36.0
1435,22.0
1436,14.0
1437,10.0
1438,2.0
1439,-6.0
1440,-17.0
1441,-23.0
1442,-30.0
1443,-41.0
1444,-43.0
1445,-40.0
1446,-41.0
1447,-43.0
1448,-43.0
1449,-36.0
1450,-33.0
1451,-32.0
1452,-26.0
1453,-18.0
1454,-15.0
1455,-12.0
1456,-6.0
1457,-2.0
1458,-3.0
1459,-4.0
1460,5.0
1461,10.0
1462,8.0
1463,2.0
1464,4.0
1465,5.0
1466,-1.0
1467,-4.0
1468,0.0
1469,3.0
1470,3.0
1471,5.0
1472,10.0
1473,13.0
1474,15.0
1475,18.0
1476,25.0
1477,31.0
1478,33.0
1479,36.0
1480,46.0
1481,51.0
1482,53.0
1483,53.0
1484,56.0
1485,56.0
1486,54.0
1487,48.0
1488,44.0
1489,42.0
1490,32.0
1491,25.0
1492,18.0
1493,6.0
1494,-6.0
1495,-12.0
1496,-17.0
1497,-26.0
1498,-36.0
1499,-42.0
1500,-47.0
1501,-54.0
1502,-53.0
1503,-50.0
1504,-48.0
1505,-45.0
1506,-39.0
1507,-34.0
1508,-28.0
1509,-21.0
1510,-15.0
1511,-11.0
1512,-4.0
1513,4.0
1514,8.0
1515,15.0
1516,16.0
1517,19.0
1518,22.0
1519,24.0
1520,24.0
1521,26.0
1522,24.0
1523,21.0
1524,19.0
1525,20.0
1526,17.0
1527,13.0
1528,12.0
1529,11.0
1530,12.0
1531,10.0
1532,16.0
1533,23.0
1534,23.0
1535,22.0
1536,25.0
1537,28.0
1538,30.0
1539,33.0
1540,36.0
1541,36.0
1542,33.0
1543,25.0
1544,19.0
1545,16.0
1546,8.0
1547,-1.0
1548,-11.0
1549,-20.0
1550,-27.0
1551,-36.0
1552,-45.0
1553,-49.0
1554,-53.0
1555,-55.0
1556,-59.0
1557,-57.0
1558,-52.0
1559,-45.0
1560,-40.0
1561,-34.0
1562,-27.0
1563,-17.0
1564,-7.0
1565,4.0
1566,14.0
1567,24.0
1568,30.0
1569,38.0
1570,44.0
1571,49.0
1572,47.0
1573,48.0
1574,49.0
1575,50.0
1576,45.0
1577,39.0
1578,35.0
1579,29.0
1580,18.0
1581,13.0
1582,10.0
1583,5.0
1584,-6.0
1585,-9.0
1586,-12.0
1587,-17.0
1588,-17.0
1589,-13.0
1590,-11.0
1591,-10.0
1592,-7.0
1593,-5.0
1594,0.0
1595,3.0
1596,6.0
1597,10.0
1598,10.0
1599,9.0
1600,5.0
1601,5.0
1602,7.0
1603,3.0
1604,-5.0
1605,-7.0
1606,-11.0
1607,-17.0
1608,-25.0
1609,-31.0
1610,-36.0
1611,-45.0
1612,-49.0
1613,-50.0
1614,-48.0
1615,-45.0
1616,-43.0
1617,-38.0
1618,-26.0
1619,-21.0
1620,-15.0
1621,-8.0
1622,-1.0
1623,11.0
1624,20.0
1625,28.0
1626,35.0
1627,41.0
1628,42.0
1629,42.0
1630,44.0
1631,47.0
1632,46.0
1633,41.0
1634,37.0
1635,34.0
1636,27.0
1637,23.0
1638,18.0
1639,18.0
1640,16.0
1641,12.0
1642,9.0
1643,7.0
1644,4.0
1645,6.0
1646,11.0
1647,10.0
1648,10.0
1649,10.0
1650,21.0
1651,25.0
1652,28.0
1653,30.0
1654,35.0
1655,37.0
1656,39.0
1657,41.0
1658,40.0
1659,37.0
1660,32.0
1661,26.0
1662,19.0
1663,11.0
1664,0.0
1665,-8.0
1666,-18.0
1667,-27.0
1668,-35.0
1669,-45.0
1670,-55.0
1671,-62.0
1672,-64.0
1673,-66.0
1674,-66.0
1675,-67.0
1676,-65.0
1677,-61.0
1678,-57.0
1679,-52.0
1680,-47.0
1681,-37.0
1682,-27.0
1683,-20.0
1684,-16.0
1685,-9.0
1686,-5.0
1687,-2.0
1688,3.0
1689,6.0
1690,7.0
1691,2.0
1692,2.0
1693,5.0
1694,3.0
1695,2.0
1696,3.0
1697,5.0
1698,4.0
1699,6.0
1700,7.0
1701,12.0
1702,18.0
1703,25.0
1704,30.0
1705,37.0
1706,46.0
1707,48.0
1708,53.0
1709,59.0
1710,64.0
1711,66.0
1712,66.0
1713,67.0
1714,66.0
1715,65.0
1716,63.0
1717,59.0
1718,52.0
1719,43.0
1720,34.0
1721,25.0
1722,13.0
1723,4.0
1724,-1.0
1725,-7.0
1726,-14.0
1727,-19.0
1728,-21.0
1729,-22.0
1730,-23.0
1731,-24.0
1732,-22.0
1733,-22.0
1734,-19.0
1735,-13.0
1736,-6.0
1737,-4.0
1738,-3.0
1739,4.0
1740,8.0
1741,7.0
1742,4.0
1743,4.0
1744,2.0
1745,-3.0
1746,-6.0
1747,-10.0
1748,-16.0
1749,-20.0
1750,-20.0
1751,-21.0
1752,-28.0
1753,-34.0
1754,-37.0
1755,-41.0
1756,-48.0
1757,-53.0
1758,-46.0
1759,-43.0
1760,-43.0
1761,-40.0
1762,-34.0
1763,-26.0
1764,-20.0
1765,-11.0
1766,-4.0
1767,7.0
1768,16.0
1769,21.0
1770,29.0
1771,37.0
1772,46.0
1773,51.0
1774,55.0
1775,54.0
1776,59.0
1777,57.0
1778,56.0
1779,55.0
1780,49.0
1781,44.0
1782,43.0
1783,37.0
1784,33.0
1785,33.0
1786,33.0
1787,33.0
1788,32.0
1789,32.0
1790,25.0
1791,22.0
1792,28.0
1793,34.0
1794,33.0
1795,33.0
1796,37.0
1797,33.0
1798,28.0
1799,29.0
1800,28.0
1801,23.0
1802,12.0
1803,7.0
1804,1.0
1805,-8.0
1806,-20.0
1807,-30.0
1808,-35.0
1809,-40.0
1810,-45.0
1811,-53.0
1812,-57.0
1813,-64.0
1814,-73.0
1815,-74.0
1816,-79.0
1817,-82.0
1818,-84.0
1819,-76.0
1820,-72.0
1821,-71.0
1822,-63.0
1823,-57.0
1824,-57.0
1825,-59.0
1826,-47.0
1827,-42.0
1828,-42.0
1829,-45.0
1830,-42.0
1831,-39.0
1832,-41.0
1833,-41.0
1834,-38.0
1835,-39.0
1836,-44.0
1837,-49.0
1838,-45.0
1839,-41.0
1840,-42.0
1841,-45.0
1842,-43.0
1843,-40.0
1844,-36.0
1845,-30.0
1846,-21.0
1847,-16.0
1848,-9.0
1849,10.0
1850,28.0
1851,37.0
1852,50.0
1853,62.0
1854,65.0
1855,67.0
1856,69.0
1857,71.0
1858,73.0
1859,68.0
1860,61.0
1861,50.0
1862,41.0
1863,31.0
1864,17.0
1865,-3.0
1866,-27.0
1867,-48.0
1868,-69.0
1869,-79.0
1870,-87.0
1871,-95.0
1872,-118.0
1873,-146.0
1874,-170.0
1875,-189.0
1876,-209.0
1877,-231.0
1878,-246.0
1879,-252.0
1880,-262.0
1881,-270.0
1882,-270.0
1883,-266.0
1884,-273.0
1885,-289.0
1886,-297.0
1887,-313.0
1888,-333.0
1889,-343.0
